,Data,User,Texto
0,2022-10-27 23:59:59+00:00,GuerreiroDeBol2,"Ama o nordeste mais vota em um traste que mandou dinheiro para todas ditaduras do mundo, menos para o lugar que nasceu, já Bolsonaro manda dinheiro e fez a transposição mesmo em lugares administrados por petistas"
1,2022-10-27 23:59:59+00:00,SarahSi31775304,"@threesiixx @nilmoretto Concordo com vc, mas esse tipo de vídeo pode conseguir virar um voto ou outro. Acho que o maior problema do Tarcísio é ele ser um candidato plantado pelo governo Bolsonaro, tão plantado q nunca morou em SP. É vergonhoso pra SP."
2,2022-10-27 23:59:59+00:00,resistmais,@brunosouzasc Mídias livres? E a jovem Pan comprada com nosso dinheiro pra falar bem do bolsonaro o dia inteiro? E a Brasil paralelo recebendo dinheiro do governo tbm pra produzir documentário tendencioso as vésperas da eleição. Ficarei de olho tem cheiro podre nessa relação com  bolsonarismo!
3,2022-10-27 23:59:59+00:00,emb_resistencia,"@renatowgomes Acho que o ponto passou-lhe ao lado. Quem se lasca é o Brasil, quando o Bolsonaro ""pede um favor"" é ""cortesia dele"", na realidade quem está lhe fazendo um IMPAGÁVEL FAVOR com SACRIFÍCIO DA PRÓPRIA VIDA É ELE!

Nem uma facada lhe basta!?

Sem JB o Brasil está perdido."
4,2022-10-27 23:59:58+00:00,MarciaC18108362,@jairbolsonaro Vai chorar? Kkkkkkkkkkkkkk
5,2022-10-27 23:59:58+00:00,jerferson_choma,"Por liberdades democráticas para poder lutar por emprego, salário e comida, assim como contra a exploração capitalista, voto crítico em Lula 13 pra derrotar o projeto de ditadura de Bolsonaro.

#DerrotarBolsonaro
#VotoCríticoNoLula
#PSTU https://t.co/nOMY23H21H"
6,2022-10-27 23:59:58+00:00,emilyfarias_21,"Lógico que você não bota em Bolsonaro, você é dominada pelo marido kkkkkkkkk"
7,2022-10-27 23:59:57+00:00,shadyXXIV,"os bolsominions realmente tão postando e comentando postagens sobre assaltos e outros crimes que ocorreram no governo do BOLSONARO e colocando a culpa no lula kkkkkkkkkkkkkk

não era teu mito que ia acabar com a criminalidade gado burro?"
8,2022-10-27 23:59:55+00:00,dr_hssauerkraut,"@AndreJanonesAdv Tem que subir uma pra Pernambuco também: MARÍLIA É LULA, LYRA É BOLSONARO"
9,2022-10-27 23:59:55+00:00,carlos85215755,"@joel_fi Já foi tudo planejado o que perguntarão para o Lula , pode acreditar , por isso ele vai … e vão tentar encurralar Bolsonaro"
10,2022-10-27 23:59:55+00:00,_JuStYn,"@Trinitros1 @PobrePampa @aerciobarros @cauebg @joaoamoedonovo Bolsonaro é tão incompetente que teve a merda dum boom de commodities entre a pandemia e a guerra, sendo Brasil um dos poucos exportadores pros items, e ainda assim crescemos abaixo da média mundial. Mano, é surreal.  Não tem argumento fora ser doente mental pra defender"
11,2022-10-27 23:59:55+00:00,Uhtredlordking,@aguedescartoon Papo aí de ciumento que só ganhou alguns seguidores por causa do bolsonaro
12,2022-10-27 23:59:55+00:00,natalysiqueeira,Queria arrumar um vinho Bolsonaro p tomar domingo…..
13,2022-10-27 23:59:55+00:00,Godeibows,"@RafaelMalavazi3 @Rconstantino A corrupção do orçamento secreto do governo Bolsonaro é muito maior que a do PT, da uns 200 mensalões, fora as rachadinhas, cheques de Queiroz, mansão do Flávio Bolso que custa 9 milhões sendo que ele ganha 25mil por mês. Lula teve 48,4% e continua na frente nos trackings."
14,2022-10-27 23:59:55+00:00,Emerson_Heitor_,"@jairbolsonaro Só eu que sinto uma baita segurança no @RomeuZema só capaz de mudar meu título só pra votar nele em minas,claro antes vamos eleger @tarcisiogdf aqui em São Paulo."
15,2022-10-27 23:59:54+00:00,fladavi87,@bea_benassi @henrixt59 @jairbolsonaro Elas estão desesperadas kkkkkk https://t.co/8HshcF2992
