,Data,User,Texto
0,2022-10-25 23:59:59+00:00,matheuxdavl,@PaolaCarosella @Haddad_Fernando @LulaOficial Lado certo é do lado de cá da fronteira né …
1,2022-10-25 23:59:59+00:00,daiah_oliveira_,@sendronroneos @MetodoMoreira Mas e o lula já foi nas facções cujo ele patrocina falar mal do armamento? Aquele frouxo fujão só tem culhões de desarmar a vítima.
2,2022-10-25 23:59:59+00:00,mmatosogabi,@LulaOficial CPX sabe?
3,2022-10-25 23:59:58+00:00,macksaopaulina,"@LulaOficial Humanismo, solidariedade, falou o cara que tirou da boca dos pobres pra colocar no próprio bolso. 
Vergonha na cara tu não tem né?"
4,2022-10-25 23:59:58+00:00,luddcrf,"@SCIClaudiomiro @futebol_info @folha tite mudou a foto p do lula, fez live p lula? falou q ia fzr dancinha p lula? virou cabo eleitoral?"
5,2022-10-25 23:59:57+00:00,Broklyn1995,"Espero que todos que votam e iram votar no Lula tenham o prazer de passar por essa experiência maravilhosa, e você que é lulista se morre em um Latrocínio morra feliz sabendo que você garantiu a cervejinha da ""vítima da sociedade"".👍🫡"
6,2022-10-25 23:59:57+00:00,nbtorres7,"@LulaOficial @ricardostuckert Lula, vai no Felipe Neto.  Ou convence o Casimiro a fazer uma live."
7,2022-10-25 23:59:57+00:00,Giulian11404973,"@thballeste @LulaOficial Sim, ele já disse que vai controlar a mídia, a internet, eu, você.."
8,2022-10-25 23:59:56+00:00,silscruz,"@Olhar_Olimpico ""Nos válidos, Lula tem 44% e, Bolsonaro, 47%. "". Não seria o contrário?"
9,2022-10-25 23:59:56+00:00,AmiltonLeo6,"@ECantanhede Tô começando a desconfiar que essa catanheda é racista. Oops desconfio mais não,  agora tenho certeza. Essa pessoinha nem consegue esconder o ódio e o preconceito que ela tem pelo Lula.  Invejosasinha"
10,2022-10-25 23:59:56+00:00,TututuLoL,"@pastorhenriquev Se algum evangélico conscientemente vota no Lula... tenho más notícias pra ele: se converta do zero, pois não entendeu nada."
11,2022-10-25 23:59:56+00:00,alencar_luanda,"A justiça eleitoral em Campina definiu que a praça da bandeira será o lugar de comemoração do resultado da eleição pra presidente e o parque do povo pra governador. ""A segurança no local será reforçada."" 
Se o Lula ganhar, o diabo é quem confia em militar."
12,2022-10-25 23:59:56+00:00,sicardorilva,dia 1 de janeiro no governo lula vai ser assim 😍
13,2022-10-25 23:59:55+00:00,gilbertoGomes1,@LeticiaColin Votar no 13 e demonstra o CARATER de cada eleitor do LULA
14,2022-10-25 23:59:55+00:00,JareauOlivia,@bethnieto @Rodrpardelinhas @LiaCorra2 @jhonesbat @danielamercury @LulaOficial Quer que eu faça o que? Pais de maricas é só uma gripizinha. Vacina na casa da mãe Joana. E foi nesse atraso que perdi minha prima de 30 anos e suas duas filhas ficaram sem mãe. Não tem justificativa! Sobre a fala do Lula totalmente errada também! Eu não defendo o que tá errado +
15,2022-10-25 23:59:55+00:00,eduardo_mourap,"um monte de gente na academia com alguma coisa em alusão ao lula, camisa adesivo, garrafa. eu jurava que aqui a maioria era 22"
16,2022-10-25 23:59:55+00:00,ElisAdoshin,@ThiagoResiste Chapa Lula Alckmin né? Afinal os ilegais são eles.
17,2022-10-25 23:59:55+00:00,m_mylleide,@ThiagoResiste @LulaOficial Vou de Lula e 13
18,2022-10-25 23:59:54+00:00,EssaArroba,PORRA JANONES! A GENTE NÃO VAI PODER VOTAR NO LULA SE TIVER INFARTADO
19,2022-10-25 23:59:54+00:00,joann24_r,@mailaagliardi @LulaOficial Acho que não é dinheiro do orçamento secreto do Bozonaro.🤭
20,2022-10-25 23:59:54+00:00,paulosal_,@vnjftm Simm!!! Eu tava a um tempo procurando onde comprar a toalha do Lula e achei hoje🚩🚩
21,2022-10-25 23:59:54+00:00,MariaInsSaldan1,@requiaooficial LULA 13 PARA O BRASIL VOLTAR A SORRIR
22,2022-10-25 23:59:54+00:00,sabruxxxa,"não gente serio pra domingo só tem duas opções 

1. memes caso o lula ganhe a eleição 

2. carta de suicidio 

não existem outras opções"
23,2022-10-25 23:59:54+00:00,lgribas1971,@TerraBrasilnot Esse Lula é mesmo uma droga!!
24,2022-10-25 23:59:54+00:00,UilianMartins2,@bbcbrasil Era.. Era... Maduro mandou um recado pro Lula .. a poucos dias .. vcs são canalhas.. A ditadura chavista destruiu a Venezuela.. vocês se prestam ao trabalho de defender um corrupto que foi condenado pela justica por unanimidade. É revoltante o que vocês estão fazendo. https://t.co/jTn3G8ZoLP
25,2022-10-25 23:59:54+00:00,ReideAra,@DaniS68083582 @HENRIQUEdb5 @YuriDias__ @JandersonMFWest @AndradeRNegro2 @LulaOficial Entendeu errado mesmo. Apontei que ele se identifica com quem vai votar. Simples assim.
26,2022-10-25 23:59:53+00:00,umbiscoitodoce,"@LulaOficial REFIS PRA GENTE, LULA, PLMDDS! 🥹 https://t.co/1uaW95jIl2"
27,2022-10-25 23:59:53+00:00,vhmalmeida,"Roma está torcendo pela volta de Lula, diz prefeito italiano https://t.co/0dvkqxzpIP"
28,2022-10-25 23:59:53+00:00,MarcelloCueto,@ECantanhede Faz essa mesma pergunta para os amigos do Lula do Complexo do Alemão ou pros CPX
29,2022-10-25 23:59:53+00:00,LabenSurface,"@GeorgeA57247861 @LulaOficial Você vai ficar com a pulguinha atrás da orelha sobre tudo que ele vai fazer, kkkkk"
30,2022-10-25 23:59:53+00:00,hd_cidade,@LulaOficial Vai se fuder velho babaca
31,2022-10-25 23:59:52+00:00,FlorisvaldoCun1,@gleisi Pior dado em 14 anos deve ter sido sem querer né? Pois a 14 anos Lula era o presidente. Tá confessando que na época dele era pior. Gleisi é  22
32,2022-10-25 23:59:52+00:00,prigantunes2020,@LulaOficial Sacanagem ? Sacanagem foi o tanto que vc roubou do povo !!! Explica  como o seu filho comprou uma ilha ? Ummmm limpando zoológico né
33,2022-10-25 23:59:52+00:00,enriczzzz,@CheechBotaFog0 @victor73316550 @LulaOficial Desesperado? Não era o seu candidato que tava passando creme durante o debate na band? Esse argumento você já usou.
34,2022-10-25 23:59:52+00:00,Marcelo76175257,"@LulaOficial A mesma quadrilha que acompanhou o PT por anos? E quase arruinou o Brasil??
Deus nos proteja de você seu bandido!"
35,2022-10-25 23:59:52+00:00,RickyFCoutinho,“Esse ignorante que tá aí é contra a cultura.” (Luís Inácio Lula da Silva) #BrasilDoFuturo
36,2022-10-25 23:59:52+00:00,BrisaCorso,"@LulaOficial Obrigada por mais esse mandato, Lula! Nós precisamos de você mais uma vez!"
